country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Mexico,13600,13900,14100,14100,14600,13500,14100,14900,15400,15600,16100,15800,15600,15600,16000,16200,16600,16800,16700,15600,16200
"Micronesia, Fed. Sts.",2720,2850,2890,3050,2970,3140,3020,2830,2920,2970,3120,3180,3210,3270,3180,3260,3280,3240,3200,3250,3320
Moldova,7820,6560,4650,4600,3190,3150,2980,3040,2840,2750,2810,2990,3230,3450,3720,4000,4210,4340,4690,4420,4730
Monaco,43200,43400,43700,43100,43800,44500,44800,45700,47100,48500,50200,50900,51100,51300,52200,52800,54600,60900,59900,53700,54100
Mongolia,5120,4610,4130,3970,4020,4240,4300,4440,4540,4640,4660,4750,4930,5220,5710,6050,6480,7050,7570,7350,7690
Montenegro,18300,16100,11700,7270,7180,8000,10000,10500,11100,10100,10400,10500,10600,10800,11300,11800,12800,13600,14600,13700,14000
Morocco,3920,4130,3970,3880,4220,3930,4350,4220,4470,4460,4490,4760,4850,5080,5260,5370,5710,5850,6120,6300,6460
Mozambique,386,395,361,377,385,380,468,505,550,579,573,628,663,686,718,758,809,846,879,910,945
Myanmar,730,716,776,813,864,913,960,1000,1050,1150,1290,1420,1580,1780,2000,2250,2530,2820,3080,3390,3690
Namibia,5710,6000,6260,6010,5970,6070,6130,6250,6330,6430,6540,6510,6720,6900,7630,7700,8110,8390,8460,8330,8680
Nauru,25200,20000,16400,13500,12800,11700,10200,9030,8180,7650,7130,6640,5970,5970,5700,5010,4030,4050,5420,5860,6610
Nepal,1190,1230,1250,1260,1330,1340,1380,1420,1430,1460,1530,1570,1550,1590,1640,1680,1710,1750,1840,1910,1990
Netherlands,32300,32800,33100,33300,34100,35000,36100,37400,38900,40600,42000,42700,42500,42400,43000,43800,45300,46900,47700,45700,46100
New Zealand,24000,22700,22700,23800,24700,25500,26000,26200,26200,27500,28100,28900,29700,30500,31200,31900,32400,33100,32500,32100,32200
Nicaragua,2970,2900,2850,2780,2810,2910,3040,3100,3160,3330,3420,3470,3440,3480,3620,3720,3820,3960,4040,3850,3970
Niger,893,886,802,786,790,784,783,776,827,794,755,780,774,786,758,763,777,772,815,779,812
Nigeria,3360,3290,3360,3210,3070,2990,3040,3050,3060,3000,3070,3170,3570,3730,3970,4120,4260,4420,4600,4840,5090
North Korea,2390,2240,2050,1920,1860,1760,1680,1560,1550,1630,1620,1670,1680,1700,1720,1770,1750,1710,1760,1730,1710
North Macedonia,9630,9050,8480,7860,7730,7640,7710,7780,7990,8290,8620,8320,8420,8590,8980,9390,9850,10500,11000,11000,11400
Norway,42800,43900,45200,46200,48300,50100,52300,54800,55900,56600,58000,59000,59500,59700,61700,62900,63900,65100,64600,62700,62400
Oman,35000,35600,36800,37400,37400,38300,38900,41000,42100,42000,44000,45400,44100,42000,41500,41500,42500,43100,45100,45700,45300
Pakistan,3060,3120,3270,3240,3270,3330,3400,3330,3320,3350,3400,3380,3410,3490,3660,3850,4000,4100,4070,4100,4070
Palau,15500,14600,13300,11300,11800,12800,13700,13700,13700,12700,12400,13000,13300,12800,13400,14000,13900,14300,13900,13300,13600
Palestine,2630,2390,2810,2950,3240,3320,3210,3520,3920,4140,3690,3260,2780,3090,3330,3590,3360,3500,3610,3820,4020
Panama,7860,8420,8920,9220,9290,9260,9440,9850,10400,10600,10600,10500,10500,10800,11300,11900,12700,14000,15100,15000,15600
Papua New Guinea,2220,2370,2640,3050,3160,2980,3130,2940,2760,2740,2620,2560,2500,2500,2520,2620,2620,2840,2770,2880,3100
Paraguay,7930,8000,7930,8120,8350,8720,8650,8820,8640,8340,7980,7760,7620,7800,7980,8020,8280,8610,9030,8880,9740
Peru,5250,5260,5130,5300,5840,6160,6220,6500,6360,6350,6430,6390,6660,6870,7140,7530,8020,8640,9350,9380,10100
Philippines,4010,3890,3810,3800,3870,3960,4100,4220,4100,4130,4220,4260,4320,4440,4650,4780,4940,5180,5300,5270,5580
Poland,10300,9520,9730,10100,10600,11300,12000,12700,13300,13900,14700,14900,15200,15800,16600,17200,18300,19600,20400,21000,21800
Portugal,20200,21100,21300,20900,21000,21900,22500,23400,24400,25200,26000,26300,26400,26000,26400,26600,27000,27600,27600,26700,27200
Qatar,70600,67800,74300,72400,72600,73500,75400,95700,103000,104000,108000,108000,111000,109000,117000,110000,117000,116000,116000,113000,120000
Romania,11400,10100,9260,9410,9790,10400,10900,10400,10200,10200,10400,11100,12000,12300,13700,14400,15700,17100,19000,18100,17500
Russia,20600,19600,16700,15300,13400,12800,12400,12600,11900,12700,14100,14800,15600,16800,18100,19300,21000,22800,24000,22100,23300
Rwanda,868,871,974,958,503,692,757,807,810,784,803,840,929,935,990,1060,1140,1190,1290,1340,1400
Samoa,3650,3540,3500,3610,3490,3690,3930,3930,4000,4070,4330,4610,4780,4960,5160,5340,5410,5720,5740,5420,5410
San Marino,50400,50500,50300,53900,57000,61700,64100,65200,69400,74800,75600,78700,78000,79900,82500,83400,85500,90500,90800,78200,73600
Sao Tome and Principe,2040,2020,2000,1990,2000,2000,1990,1970,1980,1990,1960,1970,1980,2070,2110,2200,2340,2350,2470,2460,2560
